device_id,device_name,room,type,power_rating,state,value,min,max
D0,AC_0,LivingRoom,AC,1500,OFF,19,16,30
D1,Light_1,Bedroom,Light,20,ON,0,0,1
D2,Heater_2,LivingRoom,Heater,2000,ON,19,18,32
D3,Light_3,Bedroom,Light,20,ON,0,0,1
D4,Heater_4,Bedroom,Heater,2000,OFF,27,18,32
D5,Fan_5,LivingRoom,Fan,75,ON,5,0,5
D6,Heater_6,Kitchen,Heater,2000,OFF,20,18,32
D7,Light_7,Kitchen,Light,20,ON,0,0,1
D8,Heater_8,LivingRoom,Heater,2000,OFF,31,18,32
D9,Fan_9,Kitchen,Fan,75,ON,5,0,5
D10,Heater_10,LivingRoom,Heater,2000,OFF,19,18,32
D11,Fan_11,Kitchen,Fan,75,ON,5,0,5
D12,AC_12,LivingRoom,AC,1500,ON,28,16,30
D13,Fan_13,LivingRoom,Fan,75,ON,0,0,5
D14,Heater_14,Kitchen,Heater,2000,OFF,28,18,32
D15,Fan_15,Bedroom,Fan,75,OFF,2,0,5
D16,Light_16,Kitchen,Light,20,ON,0,0,1
D17,Light_17,Bedroom,Light,20,OFF,1,0,1
D18,Fan_18,Bedroom,Fan,75,OFF,0,0,5
D19,Light_19,LivingRoom,Light,20,OFF,1,0,1
D20,Fan_20,LivingRoom,Fan,75,ON,4,0,5
D21,Fan_21,Bedroom,Fan,75,OFF,3,0,5
D22,Heater_22,Bedroom,Heater,2000,OFF,20,18,32
D23,Light_23,Kitchen,Light,20,OFF,1,0,1
D24,Fan_24,Bedroom,Fan,75,ON,4,0,5
D25,Heater_25,LivingRoom,Heater,2000,ON,31,18,32
D26,AC_26,Bedroom,AC,1500,ON,28,16,30
D27,Heater_27,LivingRoom,Heater,2000,OFF,24,18,32
D28,Heater_28,Kitchen,Heater,2000,ON,28,18,32
D29,AC_29,Kitchen,AC,1500,OFF,17,16,30
D30,Fan_30,Office,Fan,75,ON,3,0,5
D31,AC_31,Kitchen,AC,1500,ON,24,16,30
D32,AC_32,Kitchen,AC,1500,ON,18,16,30
D33,Fan_33,Bedroom,Fan,75,ON,4,0,5
D34,Fan_34,Office,Fan,75,ON,0,0,5
D35,Fan_35,Kitchen,Fan,75,ON,0,0,5
D36,Light_36,LivingRoom,Light,20,ON,1,0,1
D37,AC_37,Bedroom,AC,1500,ON,26,16,30
D38,Heater_38,Bedroom,Heater,2000,OFF,26,18,32
D39,Heater_39,Bedroom,Heater,2000,ON,29,18,32
D40,Fan_40,Office,Fan,75,OFF,3,0,5
D41,Heater_41,LivingRoom,Heater,2000,ON,21,18,32
D42,AC_42,Kitchen,AC,1500,ON,25,16,30
D43,Light_43,Bedroom,Light,20,ON,0,0,1
D44,AC_44,Bedroom,AC,1500,ON,30,16,30
D45,AC_45,Kitchen,AC,1500,ON,24,16,30
D46,Light_46,Kitchen,Light,20,OFF,0,0,1
D47,Light_47,Office,Light,20,ON,1,0,1
D48,Heater_48,Bedroom,Heater,2000,ON,19,18,32
D49,Heater_49,Kitchen,Heater,2000,OFF,24,18,32
D50,Heater_50,LivingRoom,Heater,2000,ON,18,18,32
D51,Heater_51,Kitchen,Heater,2000,ON,21,18,32
D52,Light_52,Bedroom,Light,20,OFF,0,0,1
D53,Heater_53,Bedroom,Heater,2000,OFF,25,18,32
D54,Light_54,LivingRoom,Light,20,OFF,0,0,1
D55,AC_55,LivingRoom,AC,1500,ON,30,16,30
D56,Light_56,Bedroom,Light,20,OFF,1,0,1
D57,Heater_57,Bedroom,Heater,2000,OFF,32,18,32
