rule_id,condition,condition_device,operator,value,action_device,action,action_value,priority
R0,occupancy,AC,>,34,Fan,SET,17,4
R1,temperature,Light,<,32,Fan,SET,17,1
R2,temperature,Light,>,17,AC,OFF,29,4
R3,occupancy,Fan,=,16,Light,ON,17,3
R4,occupancy,Light,<,22,Light,OFF,29,5
R5,time,Light,<,20,Fan,SET,20,1
R6,temperature,Fan,=,31,Light,ON,24,4
R7,occupancy,AC,>,18,Fan,OFF,21,4
R8,temperature,AC,>,32,Light,ON,19,3
R9,occupancy,AC,<,18,AC,OFF,26,3
R10,temperature,AC,=,32,Fan,SET,16,4
R11,temperature,Fan,=,16,Fan,ON,22,1
R12,occupancy,Light,<,23,AC,ON,26,3
R13,temperature,AC,<,30,Light,ON,28,4
R14,occupancy,Light,>,21,Light,OFF,30,3
R15,time,Fan,=,21,AC,SET,16,2
R16,temperature,AC,<,21,AC,SET,24,5
R17,time,AC,>,30,Fan,SET,24,3
R18,temperature,Fan,=,29,AC,ON,21,2
R19,temperature,Fan,=,23,Light,OFF,18,1
R20,occupancy,AC,>,35,Fan,SET,19,5
R21,temperature,Fan,>,21,Fan,ON,20,2
R22,time,AC,=,23,Light,OFF,20,2
R23,occupancy,Fan,=,28,Fan,ON,20,2
R24,temperature,Light,<,20,Light,SET,24,5
R25,occupancy,AC,>,23,AC,SET,24,5
R26,occupancy,AC,<,33,Fan,SET,26,3
R27,temperature,Light,>,32,Fan,ON,28,5
R28,temperature,Fan,=,32,Fan,OFF,26,1
R29,temperature,AC,<,19,Light,OFF,18,5
R30,temperature,AC,>,17,Light,OFF,16,4
R31,occupancy,Fan,<,34,Light,OFF,19,3
R32,time,Fan,>,31,Fan,ON,29,1
R33,time,AC,=,24,Fan,ON,22,1
R34,time,Light,<,32,Fan,SET,21,5
R35,time,Fan,<,24,Light,OFF,22,2
R36,occupancy,Fan,>,23,Fan,OFF,22,1
R37,time,Fan,<,19,AC,ON,16,3
R38,time,AC,>,29,Light,ON,25,5
R39,temperature,Fan,>,33,Light,SET,25,2
R40,time,Fan,>,34,AC,OFF,28,1
R41,occupancy,AC,>,28,Light,ON,28,4
R42,time,Fan,<,20,Light,OFF,30,4
R43,occupancy,Fan,=,17,AC,OFF,26,5
R44,time,AC,<,31,Light,ON,17,4
R45,occupancy,Fan,=,33,AC,OFF,19,2
R46,occupancy,Fan,<,21,Light,ON,29,4
R47,time,AC,>,22,Light,ON,28,5
R48,occupancy,Fan,>,28,AC,ON,24,5
R49,time,AC,>,35,Light,SET,29,3
R50,occupancy,Light,>,18,AC,ON,20,3
R51,time,Light,<,30,Fan,SET,20,4
R52,time,Light,=,30,Fan,OFF,16,2
R53,occupancy,AC,=,29,Fan,SET,24,5
R54,temperature,Fan,<,26,Light,SET,23,3
R55,occupancy,Fan,>,17,Light,ON,19,5
R56,time,Fan,<,22,Fan,OFF,24,1
R57,time,AC,=,16,Fan,SET,28,1
R58,temperature,Fan,<,35,Light,SET,20,4
R59,temperature,Light,>,19,Light,ON,24,4
R60,time,Light,<,18,Light,SET,27,4
R61,occupancy,AC,<,26,Light,SET,23,5
R62,temperature,AC,<,18,AC,ON,16,4
R63,occupancy,Fan,=,29,Fan,SET,30,3
R64,temperature,Fan,<,21,Light,ON,29,4
R65,temperature,Light,>,21,Fan,SET,28,2
R66,time,Light,<,21,Fan,SET,25,5
R67,time,Light,<,16,Light,SET,24,1
R68,occupancy,Light,=,26,Fan,ON,19,3
R69,occupancy,AC,=,24,AC,SET,23,2
R70,occupancy,Light,<,27,Light,ON,22,1
R71,occupancy,AC,<,35,Fan,ON,20,4
R72,time,Fan,=,25,AC,SET,16,1
R73,temperature,AC,<,27,Fan,SET,16,3
R74,temperature,AC,=,29,Fan,ON,28,1
R75,temperature,Fan,>,34,Fan,OFF,24,5
R76,time,Light,=,32,Light,ON,30,2
R77,occupancy,AC,<,22,Light,SET,20,3
R78,occupancy,Light,=,35,AC,SET,30,4
R79,occupancy,Fan,=,22,Fan,ON,22,5
R80,time,Fan,=,27,Light,OFF,30,3
R81,occupancy,Light,<,18,AC,SET,29,2
R82,time,Light,=,20,Fan,OFF,26,2
R83,time,Fan,=,31,Fan,SET,17,1
R84,time,Light,<,16,Light,OFF,17,2
R85,occupancy,Light,>,24,AC,OFF,30,2
R86,temperature,AC,>,25,AC,OFF,19,4
R87,temperature,Fan,<,27,AC,OFF,23,4
R88,temperature,AC,<,34,Light,OFF,27,1
R89,time,Fan,<,22,Light,OFF,21,1
R90,temperature,AC,=,30,AC,OFF,25,3
R91,time,Light,<,22,Light,SET,24,1
R92,time,Light,<,30,Fan,ON,18,4
R93,temperature,AC,=,27,Fan,OFF,19,1
R94,temperature,Light,>,26,Light,OFF,20,2
R95,occupancy,AC,<,29,AC,OFF,29,4
R96,occupancy,Light,>,17,Light,OFF,19,4
R97,occupancy,Fan,=,19,Fan,SET,27,1
R98,time,Light,>,28,AC,OFF,19,1
R99,occupancy,Fan,>,18,AC,ON,18,5
R100,time,Fan,<,29,Fan,ON,21,4
R101,occupancy,Fan,>,21,Fan,SET,18,1
R102,time,Light,<,34,Fan,SET,19,1
R103,occupancy,Light,=,29,AC,ON,23,2
R104,time,Fan,=,18,AC,SET,24,1
R105,temperature,AC,>,19,AC,OFF,22,4
R106,occupancy,Fan,<,27,Fan,SET,29,5
R107,occupancy,AC,<,19,AC,ON,23,4
R108,temperature,Light,<,31,AC,SET,21,3
R109,temperature,AC,=,28,Light,SET,23,3
R110,occupancy,AC,>,26,Light,OFF,25,1
R111,time,Light,<,21,Fan,SET,24,5
R112,occupancy,Fan,>,26,Fan,SET,16,2
R113,temperature,Fan,=,27,AC,OFF,21,2
R114,temperature,Fan,=,27,AC,OFF,29,5
R115,time,Light,<,34,Fan,ON,19,4
R116,temperature,AC,<,24,Fan,ON,24,4
R117,time,Light,<,29,Light,ON,18,1
R118,temperature,Fan,>,28,Fan,ON,26,3
R119,occupancy,AC,=,29,Fan,ON,19,3
R120,temperature,Light,<,30,AC,ON,27,2
R121,time,AC,>,24,Light,SET,27,1
R122,temperature,Light,<,18,Light,ON,24,5
R123,time,Light,=,24,AC,OFF,23,1
R124,occupancy,AC,<,32,AC,SET,23,1
R125,time,Light,>,32,AC,ON,21,1
